product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
71,-0.4001787346698652,-0.7066392746783967,6,113,-1.168456560108585,0.23041985008373628,False,False,False,True,False,False,False,False,False,False,False,True,False
142,0.11609683506251094,-0.2528117205802297,9,96,-0.04085020719396458,-0.1040542113470962,False,False,False,False,False,False,False,True,False,False,False,True,False
149,1.1486479745272633,0.6548433876161043,9,113,0.27599117058165534,1.650159154931207,False,False,False,False,False,False,False,True,False,False,False,True,False
263,-0.4001787346698652,-0.7066392746783967,7,71,-0.8838457942308641,-0.5689932313606707,False,False,False,False,False,False,False,False,False,True,False,False,True
134,-0.9164543044022413,-0.7066392746783967,9,74,-0.9689672738261794,-0.007402510630120278,False,False,False,False,False,False,False,True,False,False,False,True,False
14,-0.4001787346698652,0.6548433876161043,0,71,1.123626090609674,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,True,False
18,-0.4001787346698652,-0.2528117205802297,9,70,2.204215921903803,-1.0455289123938831,False,False,False,False,False,False,False,False,False,False,False,True,False
31,0.11609683506251094,-0.2528117205802297,1,1,0.33018258514641474,0.31988071871977714,True,False,False,False,False,False,False,False,False,False,False,True,False
137,0.11609683506251094,-0.2528117205802297,9,71,-0.4239346413846773,0.3970451173753699,False,False,False,False,False,False,False,True,False,False,False,True,False
119,1.1486479745272633,2.470153604008772,4,72,0.9515560424291529,-0.6556903689642588,False,False,False,False,False,True,False,False,False,False,False,True,False
268,1.1486479745272633,-0.2528117205802297,3,71,-0.09913208184292048,1.6862625508246205,False,False,False,False,False,False,False,False,False,True,False,False,False
8,-1.4327298741346175,-0.9335530517274802,3,70,-0.22761257035462418,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
141,1.1486479745272633,0.6548433876161043,1,70,0.0570010682310348,0.5019844422228463,False,False,False,False,False,False,False,True,False,False,False,True,False
267,0.11609683506251094,-0.2528117205802297,0,73,-0.5766743788176647,0.19023003294953789,False,False,False,False,False,False,False,False,False,True,False,True,False
169,0.11609683506251094,-0.2528117205802297,9,95,-0.07770342258932036,0.14694574785283024,False,False,False,False,False,False,False,True,False,False,False,True,False
209,-0.9164543044022413,-0.7066392746783967,9,95,-0.9958040790742151,-0.06995782470984732,False,False,False,False,False,False,False,False,True,False,False,True,False
94,-0.9164543044022413,-0.9335530517274802,9,78,-1.0604722818991486,0.35202764713707607,False,False,False,False,False,True,False,False,False,False,False,True,False
78,0.11609683506251094,-0.2528117205802297,9,113,-0.9125069428076239,0.43872478474066434,False,False,False,True,False,False,False,False,False,False,False,True,False
94,-0.4001787346698652,-0.7066392746783967,7,70,-0.9254240536892172,1.3220576246463902,False,False,False,False,False,True,False,False,False,False,False,True,False
137,0.11609683506251094,-0.2528117205802297,9,70,-0.4761685203102722,0.19023003294953789,False,False,False,False,False,False,False,True,False,False,False,False,True
221,1.1486479745272633,0.6548433876161043,1,44,0.506287475964328,0.23041985008373628,False,False,False,False,False,False,False,False,False,True,False,True,False
267,1.1486479745272633,0.6548433876161043,10,98,-0.2386874097010651,-0.42764943972217256,False,False,False,False,False,False,False,False,False,True,False,True,False
211,0.11609683506251094,-0.2528117205802297,7,70,-0.618268119579939,0.7418661905667004,False,False,False,False,False,False,False,False,True,False,False,False,True
